id,item_group_id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,custom_label_0,custom_label_1,video[0].url,video[1].url
MLB4912035531,MLB4912035531,Afiador E Amolador De Facas E Tesouras 4 Em 1 Profissional M,Afiador E Amolador De Facas E Tesouras 4 Em 1 Profissional M,in stock,new,29.99 BRL,https://produto.mercadolivre.com.br/MLB-4912035531-afiador-e-amolador-de-facas-e-tesouras-4-em-1-profissional-m-variados-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/k047kxcfut_1784423019573.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/wpr3rnxz7sf_1785012595775.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/mp3agg7u3im_1784842853850.mp4
MLB4923676903,MLB4923676903,Saco De Lavagem Tenis Sapatos Para Máquina De Lavar Cinza,Saco De Lavagem Tenis Sapatos Para Máquina De Lavar Cinza,in stock,new,49.99 BRL,https://produto.mercadolivre.com.br/MLB-4923676903-saco-de-lavagem-tenis-sapatos-para-maquina-de-lavar-cinza-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/nf2rte6ccwl_1784646735022.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/y67owhf49m_1785012100251.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/7uiran9a44e_1784843603274.mp4
MLB7217308366,MLB7217308366,Escova A Vapor Para Pets 3 Em 1 Beje Com Laranja,Escova A Vapor Para Pets 3 Em 1 Beje Com Laranja,in stock,new,49.99 BRL,https://produto.mercadolivre.com.br/MLB-7217308366-escova-a-vapor-para-pets-3-em-1-beje-com-laranja-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/9tq40b1m2pm_1784646448399.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/1iqdrhr0xd4_1785012394570.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/2alqzcy1hi3_1784842976616.mp4
MLB7217343768,MLB7217343768,Tapete Banheiro Antiderrapante Pedras - Cinza Cinza,Tapete Banheiro Antiderrapante Pedras - Cinza Cinza,in stock,new,29.99 BRL,https://produto.mercadolivre.com.br/MLB-7217343768-tapete-banheiro-antiderrapante-pedras-cinza-cinza-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/ygc0lyw31hg_1784646906619.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/mk6yw3vgvi_1785011801154.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/3j2p6jamtu_1784844452533.mp4
MLB4923655411,MLB4923655411,Cozedor De Ovos Elétrico Portátil 110v - Branco Branco,Cozedor De Ovos Elétrico Portátil 110v - Branco Branco,in stock,new,79.99 BRL,https://produto.mercadolivre.com.br/MLB-4923655411-cozedor-de-ovos-eletrico-portatil-110v-branco-branco-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/ppg5i6gq1as_1784646575398.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/zylh1h3fb8n_1785012896311.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/8mpgtb11p6n_1784842600522.mp4
MLB7198431276,MLB7198431276,Rodinho De Pia Mini Esfregão Mop Limpeza Dobrável Portátil,Rodinho De Pia Mini Esfregão Mop Limpeza Dobrável Portátil,in stock,new,49.99 BRL,https://produto.mercadolivre.com.br/MLB-7198431276-rodinho-de-pia-mini-esfrego-mop-limpeza-dobravel-portatil-branco-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/hisrglitj3r_1784423617202.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/mdv9yoiab3q_1785013626705.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/tu0s4fly1pq_1784843205143.mp4
MLB4911057229,MLB4911057229,Power Bank 5000mah Carregador Magnético Portátil Por Indução,Power Bank 5000mah Carregador Magnético Portátil Por Indução,in stock,new,89.99 BRL,https://produto.mercadolivre.com.br/MLB-4911057229-power-bank-5000mah-carregador-magnetico-portatil-por-induco-branco-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/34zafec3ilc_1784404379779.png,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/qs45qw59fxr_1785012785844.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/0efjlcvnqtmw_1784842377508.mp4
MLB7220341744,MLB7220341744,Mini Câmera Espiã A9 Wifi Com Sensor E Visão Noturna Preto,Mini Câmera Espiã A9 Wifi Com Sensor E Visão Noturna Preto,in stock,new,49.99 BRL,https://produto.mercadolivre.com.br/MLB-7220341744-mini-cmera-espi-a9-wifi-com-sensor-e-viso-noturna-preto-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/loh7lsbhoqh_1784685444717.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/ly5la8nw3wq_1785012146128.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/98owirppxoq_1785010117253.mp4
MLB4925996487,MLB4925996487,Kit Ferramentas 46 Peças Com Maleta Vermelho,Kit Ferramentas 46 Peças Com Maleta Vermelho,in stock,new,69.99 BRL,https://produto.mercadolivre.com.br/MLB-4925996487-kit-ferramentas-46-pecas-com-maleta-vermelho-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/b9x9lw3k6z_1784685156629.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/x6j96fea1u_1785011878077.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/ut7d6zn9h4g_1784844057044.mp4
MLB7040558878,MLB7040558878,Suporte Porta Escova Dentes Dipenser Pasta Esterelizador Uv,Suporte Porta Escova Dentes Dipenser Pasta Esterelizador Uv,in stock,new,59.99 BRL,https://produto.mercadolivre.com.br/MLB-7040558878-suporte-porta-escova-dentes-dipenser-pasta-esterelizador-uv-branco-_JM,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/8bses1ykc2l_1784406781419.jpeg,,Genérico,,,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/frs19m057y_1785012290239.mp4,https://rxuyrizpbxnawataukil.supabase.co/storage/v1/object/public/meta-catalog-feed/uploads/videos/991a50bgusw_1784843323095.mp4
